,original_id,sequence_length
d5a7316027e2c95a06531ee391585b31,ONUN2_DN2167_c0_g1_i4.p1,2456
bbf53444aee50a82edde3ad0d320bc1f,ONUN2_DN5604_c0_g2_i3.p1,2448
211863112cf3c4f65adf02a07c98994e,ONUN2_DN4150_c0_g1_i7.p1,2443
c8c55ef79a23e8e48907c38c3ba0910e,ONUN2_DN1466_c0_g1_i5.p1,2438
32a504d61ae70ed2560d24b770ee85ae,ONUN2_DN4916_c0_g1_i2.p1,2437
2beece05d1e0ed25c528d559611a033f,ONUN2_DN8546_c0_g1_i1.p1,2433
5bedcdb2bc991636b55be54111a50558,ONUN2_DN1787_c0_g1_i7.p1,2427
1fda8abfb8ff17b63329f0ccb8108a31,ONUN2_DN4108_c0_g1_i2.p1,2417
a3cf3375587b849af18f1ccc0e1f70ba,ONUN2_DN5949_c0_g1_i1.p1,2399
57d27ad3b50e6482c52864940e573cb8,ONUN2_DN2110_c0_g1_i5.p1,2395
c5e67ff1e1c665f4b0bb2181cfe9afc5,ONUN2_DN2010_c0_g1_i9.p1,2388
eb48135f70502f98d2a142868cd34c62,ONUN2_DN2872_c0_g1_i2.p1,2383
4d38f0ba837af5b0cbdefe80352e62b1,ONUN2_DN2991_c0_g1_i8.p1,2380
60270f4729186a5bf3bfc541dfafe680,ONUN2_DN1521_c0_g1_i4.p1,2379
e3a3ca96381cac9a2215938a3b8f9a5b,ONUN2_DN42_c0_g1_i4.p1,2356
e8db15f848ad228a0a77809dab9641f1,ONUN2_DN4693_c0_g1_i1.p1,2356
38b55031ea0bfd800c7dbbf8611badb6,ONUN2_DN6928_c0_g1_i3.p1,2351
de34ecbe626549ed5fcf531aaa37996b,ONUN2_DN141_c0_g2_i1.p1,2350
cc74bd64253892bbf68787ab5f9860fe,ONUN2_DN25633_c0_g1_i9.p1,2346
92084c36584cf4434c9912326da2f609,ONUN2_DN119_c0_g1_i4.p1,2332
466abcf5ee0272bea97eb41742df8d01,ONUN2_DN2659_c0_g1_i4.p1,2326
7f4691122f82579d403df2f9d609963c,ONUN2_DN8440_c0_g1_i5.p1,2323
a132a8f92b4ce8f2937ec0203006d37c,ONUN2_DN5677_c0_g2_i2.p1,2322
32d1af92564d0ef14a0dc9ff0a0d4d07,ONUN2_DN13808_c0_g1_i5.p1,2312
3fd9833b8e2abfbacbf0e5e46272e571,ONUN2_DN11784_c0_g1_i3.p1,2303
a825eb3f51a45394e0f6533134d609c9,ONUN2_DN638_c0_g1_i16.p1,2300
802a5a346ff03aec280a41af17a3f732,ONUN2_DN7836_c0_g1_i8.p1,2278
e3a21fe81026bf4b2ad90e1d92fe19d0,ONUN2_DN316_c0_g1_i22.p1,2276
4a7e9c3db228b44cd17a8184fc261377,ONUN2_DN11104_c0_g1_i16.p1,2273
755d13a3a2a943151cb9c02a0aed8197,ONUN2_DN3630_c0_g1_i39.p1,2267
b39aed7e47e07fcc7f563f17b31bc39c,ONUN2_DN1028_c1_g1_i10.p1,2265
8442b873d5453bd5176d2637b8f7653a,ONUN2_DN3982_c0_g2_i9.p1,2264
8edd1fb9443a9cada6dee93c161c4e62,ONUN2_DN67_c0_g1_i1.p1,2262
5b4e6b5ba32401c2b5fdaff605e7171a,ONUN2_DN2369_c0_g1_i21.p1,2261
82dd3b8204980afe00417ba3839fbbc6,ONUN2_DN257_c0_g1_i1.p1,2260
68abf51dc57770ba47e0cde34e068959,ONUN2_DN3278_c1_g1_i3.p1,2257
dff1b2912bdc8b22c4b18cabd6d5b719,ONUN2_DN1003_c0_g1_i8.p1,2256
e80363d5153c26d3aad5d193e49a3725,ONUN2_DN2175_c0_g1_i11.p1,2251
c3a9fe9aa0df2055123ecf052b3f9cc5,ONUN2_DN678_c0_g1_i6.p1,2249
ac1277116840feb53c84a9f721e911cf,ONUN2_DN10691_c0_g1_i30.p1,2243
f368e457047756dc17764b70df6e591f,ONUN2_DN78_c0_g1_i5.p1,2237
2acff22e482e7997840e3dd30fc5c4a7,ONUN2_DN3330_c0_g1_i3.p1,2237
639268f72c8046947fa67f82f8c9b2de,ONUN2_DN27118_c0_g1_i1.p1,2235
1f58580caebef58ba2d6a7c71281c4f6,ONUN2_DN4466_c0_g1_i4.p1,2221
fa625adbb22c09987d1e0ab68d68aaa3,ONUN2_DN5663_c0_g1_i2.p1,2221
7d486b2711d200a771a4944f825d2d85,ONUN2_DN9060_c0_g1_i2.p1,2219
d84ac3b6fb69ea6a3d33ffd9c9a25203,ONUN2_DN5824_c0_g1_i53.p1,2215
6d6bf3fdd0e42022a4589132db58063f,ONUN2_DN19761_c0_g1_i22.p1,2198
bb0a3586b3affdd02dd2ace57212eb12,ONUN2_DN7892_c0_g1_i2.p1,2180
c47b0a82685ea816fdb6e7a394825e9b,ONUN2_DN8915_c0_g2_i2.p1,2179
70bbbe7d4b6c11429325c7209345a545,ONUN2_DN10314_c0_g1_i20.p1,2168
5ab25085193dc13acad6517972f7da4e,ONUN2_DN12471_c0_g1_i9.p1,2158
fb2bdfb1cd04805d679f537ce15507ed,ONUN2_DN16070_c0_g1_i2.p1,2154
4764e20005a36eec49aed3cbfa9f9b81,ONUN2_DN2036_c0_g1_i4.p1,2152
29f2d837888d4330ff3fee0c830aa8ef,ONUN2_DN20778_c0_g1_i4.p1,2149
0923d4970feb041963a1d50b568b466d,ONUN2_DN32666_c0_g1_i17.p1,2143
4ece4675f56f87880b9f9839a6e63ed6,ONUN2_DN3777_c0_g1_i17.p1,2126
4449fba6c744f20cf88f09f35f54eae5,ONUN2_DN2678_c0_g1_i6.p1,2120
17bddcc59f3ae32f6e30f14cb579d66e,ONUN2_DN15607_c0_g1_i1.p1,2118
9da8cbca9daa607948c003315544d1ad,ONUN2_DN30535_c0_g1_i3.p1,2116
74e89e62a3e9fff4d94a3b7b2fa75438,ONUN2_DN40429_c0_g2_i6.p1,2116
340513ae9abcf17b44d568eb41beab4a,ONUN2_DN4993_c0_g1_i7.p1,2107
b03a54124db8b06f90f4f38a35f51c5a,ONUN2_DN2043_c0_g1_i1.p1,2097
c718768ed79fce0c07c8a2d98197159a,ONUN2_DN2880_c0_g1_i33.p1,2097
82269ea74154383e33139869df87195c,ONUN2_DN8246_c0_g1_i18.p1,2085
4b32205baf0908b42d6fa2d96c6b6606,ONUN2_DN6233_c0_g1_i6.p1,2084
062c52a747211a6f5d9dd08a2ce07963,ONUN2_DN11339_c0_g2_i3.p1,2083
1505e6f16510c9b5199aac3e2be5eb75,ONUN2_DN4411_c0_g1_i6.p1,2081
9a764cc102bf6089d32a606abfc217dd,ONUN2_DN2612_c0_g1_i6.p1,2081
6e4ef59f28b4f4478523ce580f4c07e0,ONUN2_DN10339_c0_g1_i1.p1,2080
bfad0ef6f21d8dff4dde08e9219cb266,ONUN2_DN46340_c1_g1_i3.p1,2079
1952939fb6785056be49490192a7daa6,ONUN2_DN1023_c0_g1_i49.p1,2072
5a20d8372ceef5ea6a701bbf3530b8dc,ONUN2_DN38378_c0_g1_i5.p1,2070
3411dbdc9932e635b498645638fea3b4,ONUN2_DN7639_c0_g1_i11.p1,2068
221005e193c1ff0e979f7fdeb330747b,ONUN2_DN1842_c0_g1_i2.p1,2067
84bee24b61fab9c96a405d6ec7d45178,ONUN2_DN8328_c0_g1_i28.p1,2067
cf70863daeb04e7f7290235ba8c59bcc,ONUN2_DN2546_c0_g1_i33.p1,2060
86eaea58f818f51b98b90ee89ace9df4,ONUN2_DN4832_c1_g1_i4.p1,2059
254276b113710cb1699c186bf3ea285a,ONUN2_DN23958_c0_g1_i3.p1,2059
54b6fc0d04b1e645c73718218c441075,ONUN2_DN5242_c0_g1_i1.p1,2058
e30155af21e745837e1e460fa0f491f1,ONUN2_DN30602_c0_g1_i9.p1,2058
8d78c70797c2bd1113678145c96e4447,ONUN2_DN9533_c0_g1_i3.p1,2056
b2e99d7faf5ced13bdd413e184a489f4,ONUN2_DN1922_c0_g1_i9.p1,2055
400d615c229272a16d05db3fedfa7f28,ONUN2_DN2566_c0_g1_i4.p1,2054
e5842b2ead3cc4bf3e6b785e558a01fe,ONUN2_DN6368_c0_g1_i1.p1,2053
33bc2536ddeb0cc396c983c7247f0437,ONUN2_DN7248_c0_g1_i1.p1,2038
46617cd4708b899d4b00a755ec7f0f75,ONUN2_DN4212_c0_g3_i5.p1,2029
81dd947532c71000bfc8eeed0ee7106b,ONUN2_DN1359_c0_g1_i2.p1,2029
b82e15524eed79dc9b762b4b93e0ba2b,ONUN2_DN9381_c0_g1_i1.p1,2028
1b79861e190417acfd75662b1dd28562,ONUN2_DN9473_c1_g1_i2.p1,2016
272c650ab367acb7317d9329c0b96adc,ONUN2_DN1662_c2_g1_i2.p1,2016
7d6e531dc09263a13950045979542961,ONUN2_DN34395_c0_g1_i4.p1,2015
5f613c076b26e16c7c0686108ceb2466,ONUN2_DN10044_c0_g1_i11.p1,2014
af58964c22316a6beafdc9881e1a1b50,ONUN2_DN4235_c0_g1_i14.p1,2011
b8fb292ed8811b9299f3549608351cfe,ONUN2_DN4571_c0_g1_i1.p1,2004
ff2ffccf3df19759810fdc430f09778b,ONUN2_DN12749_c0_g1_i6.p1,2002
361f75a042bb25ef6b1533caecdec75a,ONUN2_DN2110_c0_g2_i8.p1,1995
c668b6ec580d6ef4887135715836d3e8,ONUN2_DN13485_c0_g1_i7.p1,1993
306c5aa90dcad7b04eff95af95d289a4,ONUN2_DN3971_c0_g1_i10.p1,1990
97758246475440b8d0ff34f798e4f025,ONUN2_DN1169_c0_g1_i1.p1,1989
ed98d6d519dd058be029cc5e607b28f6,ONUN2_DN6238_c0_g1_i31.p1,1979
b96b26b00a8b3a579368cfbf6669fb9d,ONUN2_DN14136_c0_g1_i3.p1,1976
ec8588e120eb15f99d3bcc339ca45794,ONUN2_DN2576_c0_g1_i10.p1,1972
c75a3610889e9c1e34a8215f5a0afc06,ONUN2_DN9001_c1_g1_i9.p1,1964
c3567016fa5417a1c98fd539dacba92a,ONUN2_DN156_c0_g2_i1.p1,1956
acc00ea1c39f1e9bd91374ca5f6d5d17,ONUN2_DN1807_c0_g1_i7.p1,1953
24a240ed9ceb253a12e7bf3f9d928b1c,ONUN2_DN1454_c0_g1_i2.p1,1952
a8996283f4194ee0862133cd54fab313,ONUN2_DN265_c0_g1_i16.p1,1949
a0ed7fe2ebd537d46c0233d027723362,ONUN2_DN2208_c0_g1_i4.p1,1945
2631b4e73c0d4112be5212689c858dae,ONUN2_DN156_c0_g1_i8.p1,1943
798bb70cc500ea8c467e31b8b9c42be7,ONUN2_DN5265_c0_g1_i2.p1,1938
ded1f760bfe6a46b3022c127c0047084,ONUN2_DN3471_c0_g1_i10.p1,1933
8cc1c751a17c108357cefe69e6bf0f1b,ONUN2_DN2250_c0_g1_i2.p1,1933
07696bd09ce57f23aea10f3e4f902375,ONUN2_DN19649_c0_g2_i1.p1,1931
4bd4ca4eb80390e7ebb6d679dc4661fd,ONUN2_DN4216_c0_g1_i8.p1,1930
765593b09eb9e0ff5fabfd728a52a200,ONUN2_DN20900_c0_g1_i2.p1,1929
d29e663aa72564d54f1831e7d5c51431,ONUN2_DN17587_c0_g1_i13.p1,1925
839ebd9e050ada7056268cef52fa9648,ONUN2_DN24542_c0_g3_i1.p1,1922
9b613f154ab1fd812762a844cfb50533,ONUN2_DN6613_c0_g1_i1.p1,1922
ff8cb5f2bde9aed4acad2187cc7b2b98,ONUN2_DN24481_c0_g1_i17.p1,1921
7fc645ecb1945696fbb9b6908f15ca24,ONUN2_DN2747_c0_g1_i10.p1,1921
cd910457633acdfdaaf68cda3a1e7d5b,ONUN2_DN2669_c0_g1_i3.p1,1919
b8c4733eaa90320bf20ffbd27e14746d,ONUN2_DN9533_c0_g2_i12.p1,1916
6f5ef69d8572fa7486771b3f470e4d92,ONUN2_DN1826_c1_g1_i4.p1,1911
b1bebe00acf14c06c4afeb702a4483b1,ONUN2_DN3235_c0_g1_i11.p1,1907
4f55a3c03b0905f72e9cec42219bcef6,ONUN2_DN4261_c0_g2_i1.p1,1905
ac081bab4d86acb8719ab26caf21c50c,ONUN2_DN8335_c0_g1_i7.p1,1905
c7e23e27f62371535a8cf381d7650fda,ONUN2_DN8746_c0_g1_i7.p1,1903
dae1286ef8263fa41842eaac7028c58e,ONUN2_DN25609_c0_g1_i4.p1,1888
c878b6fc813cf66f1b57cee6923e3d39,ONUN2_DN3734_c0_g2_i13.p1,1880
6652967ea5a210533e87e301f7a4993a,ONUN2_DN7033_c0_g1_i12.p1,1880
d2cffcf181a6b668cb0a47bb7225474e,ONUN2_DN9473_c0_g1_i3.p1,1877
abadc6f9cec63a18ff625152b668fe48,ONUN2_DN5671_c0_g1_i1.p1,1875
28746182793ecb97138fb736dace2bc2,ONUN2_DN1210_c0_g2_i1.p1,1872
3dd3c990b8f621a425c1f6e0ebe92e04,ONUN2_DN1076_c0_g1_i6.p1,1867
f26e8b58b5a93d2981e339e4f7740b88,ONUN2_DN10638_c0_g1_i6.p1,1866
a60dc2278c894e799f2d7a3ab97efc9c,ONUN2_DN4414_c0_g1_i9.p1,1860
03861c71209e30f4cf12728a2e162740,ONUN2_DN7814_c0_g1_i11.p1,1860
8deb2005cf3a82c2036022a3bfa17595,ONUN2_DN1391_c0_g1_i3.p1,1857
f6941b62b2f195dbba74cdff5ee2425c,ONUN2_DN173_c0_g2_i8.p1,1854
1e37a925a09fe9f2e66f6082bf07e493,ONUN2_DN12311_c0_g1_i4.p1,1854
d11d0f5946017bc8cb3af207dd64f13f,ONUN2_DN6314_c0_g1_i6.p1,1846
d5a694a9c3a998ba97ebe5869ca7bf47,ONUN2_DN5114_c0_g1_i12.p1,1846
bb4b19a24a15c05f8d550083a0d7aaab,ONUN2_DN30380_c0_g1_i11.p1,1844
a54d893b7ea7bc70ed099e66028c5ba8,ONUN2_DN3493_c0_g1_i23.p1,1838
8ec3c4a50de3baf6212346939ec17c40,ONUN2_DN4887_c0_g1_i6.p1,1838
9c4e5acde18c0e2f2bc9c9b593d3c6b6,ONUN2_DN22887_c1_g2_i1.p1,1838
9cb813d3ba37ed4a1def0554702bd866,ONUN2_DN4982_c0_g3_i7.p1,1834
dc31678d70d176e3046a4305382829fb,ONUN2_DN27670_c0_g1_i1.p1,1833
e2428e4ccb55e7d47a789b79e165d0fe,ONUN2_DN1623_c0_g1_i18.p1,1833
c281ced7a6f358d82ac3b16cdab80d3f,ONUN2_DN4471_c0_g1_i14.p1,1832
327327759411e1d702a3990481023e0f,ONUN2_DN3332_c0_g1_i2.p1,1829
f8eb01181d772abea71e6da58518a653,ONUN2_DN1075_c0_g1_i7.p1,1829
52dfc79b947174375ee81994e8512b9a,ONUN2_DN4646_c0_g1_i5.p1,1825
a9c87f886098d2793c4b4f101aaf29db,ONUN2_DN4374_c0_g1_i10.p1,1821
e5a9b05516f0d16e88cae3ba6396f53e,ONUN2_DN321_c1_g1_i11.p1,1821
8978ed19c83b1fc0087048432a285a5a,ONUN2_DN6372_c0_g1_i7.p1,1819
a8db6470eb914d86810b477dc5514580,ONUN2_DN1583_c0_g1_i2.p1,1818
a7f700c285f207b952cf5f3226e52bd7,ONUN2_DN13573_c0_g1_i17.p1,1817
d3b74c1bb3048428d8502aa0df9f54a8,ONUN2_DN4_c0_g2_i7.p1,1812
a7c46a3fee23a14ce826279eefcdea7d,ONUN2_DN307_c0_g1_i18.p1,1811
9afa7baa5e9112ab5036b94b2ac91ebf,ONUN2_DN4374_c0_g4_i1.p1,1811
1d3798b55208a41b1e78c5af4883b91a,ONUN2_DN11018_c0_g1_i1.p1,1809
f63e1c5c41229e36f0c44c56c6d1b542,ONUN2_DN4710_c0_g2_i3.p1,1809
5e9b7889fd52bb289dbab8cda56a6fb1,ONUN2_DN8170_c0_g1_i1.p1,1807
bd636c4308e4be30daab75f37c71053e,ONUN2_DN4283_c0_g2_i2.p1,1806
a7ea15c1e1ef9fd5bb9fcf0aedfdb4b0,ONUN2_DN6276_c0_g1_i22.p1,1806
848a2b20c24771b60b689637750a954e,ONUN2_DN2298_c0_g1_i6.p1,1800
fa8bf601f66f9abcc9df5efebe80d89a,ONUN2_DN7035_c0_g1_i11.p1,1798
33ee15caa542a8e8c009434cf678efc4,ONUN2_DN1735_c0_g2_i1.p1,1789
b32d5a2174fc4936b007b25178c7f3db,ONUN2_DN21438_c0_g1_i6.p1,1789
001eba8f6e6f07538765cca2c2167745,ONUN2_DN28399_c0_g1_i5.p1,1788
f1f01a56ed5a94157cf299a403e7c280,ONUN2_DN563_c0_g1_i2.p1,1785
b3a426ea48fecf777a5033a808654c7c,ONUN2_DN6887_c2_g1_i16.p1,1781
6883ad729b4528ae4e19f3237718b2fa,ONUN2_DN1016_c0_g1_i4.p1,1780
ab2dab48aed1beb6391f7d017fcce39f,ONUN2_DN6770_c0_g1_i2.p1,1776
c85a5e1e15d8c6fbbc4d8f50c4e8a909,ONUN2_DN14081_c0_g1_i32.p1,1775
544fe0524c6b8d3577ce88d0527f0d15,ONUN2_DN18326_c0_g1_i1.p1,1774
298ebd87fc00b7198ab3b061fb9df177,ONUN2_DN6716_c0_g1_i3.p1,1774
a2b388e5a71e67e218fb88bc7b3a976a,ONUN2_DN6612_c0_g1_i6.p1,1771
f6b3c8137da3b454e197951840570023,ONUN2_DN4103_c0_g1_i3.p1,1770
3ae3457f7a0e06a1ac7196480a1a8d00,ONUN2_DN11248_c0_g1_i4.p1,1768
225fdfe36c0f49a598a90988850ae1fb,ONUN2_DN6005_c0_g5_i1.p1,1768
d08cf8949bc149fa256d46fce49887b9,ONUN2_DN6259_c0_g1_i7.p1,1767
83bc5a0c6fa9bee36f6b34274358d62d,ONUN2_DN10576_c0_g1_i3.p1,1766
4de821ca74787f37751e12f604f19b93,ONUN2_DN4738_c0_g1_i8.p1,1763
