HOG00046086_65	SMED4_DN334_c0_g1_i3.p1
HOG00055216_69	SMED4_DN3804_c0_g1_i1.p1, SMED4_DN105616_c0_g1_i1.p1, SMED4_DN145299_c0_g1_i1.p1, SMED4_DN104553_c0_g1_i1.p1
HOG00072003_73	SMED4_DN3568_c0_g2_i3.p1, SMED4_DN13352_c0_g1_i4.p1, SMED4_DN4323_c0_g3_i3.p1, SMED4_DN29075_c0_g1_i18.p1
HOG00062565_71	SMED4_DN91319_c0_g1_i1.p1, SMED4_DN136500_c0_g1_i1.p1, SMED4_DN30302_c0_g1_i1.p1, SMED4_DN35900_c0_g1_i1.p1
HOG00069289_73	SMED4_DN2822_c1_g1_i16.p1
HOG00053592_68	SMED4_DN16399_c0_g1_i1.p1, SMED4_DN16040_c0_g1_i9.p1, SMED4_DN5827_c0_g1_i2.p1
HOG00071345_73	SMED4_DN18819_c2_g1_i1.p1, SMED4_DN3375_c0_g1_i1.p1
HOG00014992_33	SMED4_DN13026_c0_g1_i3.p1, SMED4_DN1345_c0_g1_i22.p1
HOG00060939_70	SMED4_DN15545_c0_g1_i4.p1
HOG00050759_67	SMED4_DN1267_c0_g1_i14.p1, SMED4_DN569_c0_g1_i7.p1, SMED4_DN2236_c0_g2_i1.p1
HOG00063088_71	SMED4_DN12993_c0_g1_i8.p1, SMED4_DN3879_c0_g1_i5.p1
HOG00037001_64	SMED4_DN77109_c0_g1_i1.p1
HOG00015194_33	SMED4_DN906_c0_g2_i1.p1
HOG00036684_64	SMED4_DN495_c0_g2_i1.p1, SMED4_DN495_c0_g1_i1.p1
HOG00049081_66	SMED4_DN894_c1_g1_i6.p1
HOG00061022_70	SMED4_DN16208_c0_g1_i2.p1, SMED4_DN3950_c0_g1_i6.p1, SMED4_DN446_c0_g1_i7.p1
HOG00067668_73	SMED4_DN236_c0_g3_i1.p1, SMED4_DN5882_c0_g1_i4.p1
HOG00036276_64	SMED4_DN10277_c0_g1_i4.p1
HOG00074223_73	SMED4_DN21041_c0_g1_i1.p1
HOG00069602_73	SMED4_DN18438_c0_g2_i5.p1, SMED4_DN393_c0_g1_i20.p1
HOG00074106_73	SMED4_DN41107_c0_g2_i6.p1, SMED4_DN3764_c0_g3_i1.p1
HOG00016404_33	SMED4_DN126_c0_g2_i1.p1
HOG00071604_73	SMED4_DN132098_c0_g1_i1.p1
HOG00045448_65	SMED4_DN62190_c0_g1_i1.p1
HOG00060018_70	SMED4_DN14835_c0_g1_i2.p1, SMED4_DN7432_c1_g1_i1.p1, SMED4_DN7681_c1_g2_i3.p1, SMED4_DN3160_c0_g1_i2.p1, SMED4_DN22087_c0_g2_i1.p1, SMED4_DN13591_c0_g1_i3.p1, SMED4_DN13593_c0_g1_i9.p1
HOG00031990_63	SMED4_DN4020_c0_g3_i2.p1
HOG00060513_70	SMED4_DN22029_c1_g1_i2.p1, SMED4_DN22029_c4_g1_i1.p1, SMED4_DN5691_c0_g2_i1.p1
HOG00072877_73	SMED4_DN10587_c0_g1_i1.p1
HOG00055559_69	SMED4_DN5744_c0_g2_i1.p1, SMED4_DN5744_c0_g1_i1.p1, SMED4_DN138002_c0_g1_i1.p2, SMED4_DN6396_c0_g1_i2.p1
HOG00070120_73	SMED4_DN6440_c0_g1_i21.p1, SMED4_DN119440_c0_g2_i2.p1, SMED4_DN6335_c2_g3_i1.p1, SMED4_DN8764_c0_g1_i2.p1, SMED4_DN3595_c0_g1_i1.p1
HOG00063113_71	SMED4_DN126464_c0_g1_i1.p1, SMED4_DN14052_c0_g1_i1.p1, SMED4_DN91185_c0_g1_i1.p1, SMED4_DN30301_c0_g1_i2.p1
HOG00068288_73	SMED4_DN1001_c1_g1_i3.p1
HOG00073630_73	SMED4_DN26425_c2_g2_i1.p1
HOG00068708_73	SMED4_DN6747_c1_g1_i10.p1, SMED4_DN4212_c1_g1_i2.p1
HOG00053662_68	SMED4_DN118508_c0_g1_i1.p1, SMED4_DN1619_c0_g1_i2.p1
HOG00036797_64	SMED4_DN1432_c0_g3_i1.p1, SMED4_DN62195_c0_g1_i2.p1
HOG00072225_73	SMED4_DN6909_c0_g1_i1.p1
HOG00014343_32	SMED4_DN37107_c0_g1_i1.p1
HOG00044549_65	SMED4_DN7508_c0_g1_i1.p1
HOG00059838_70	SMED4_DN95435_c0_g1_i1.p1, SMED4_DN17438_c0_g1_i1.p1, SMED4_DN90793_c0_g1_i1.p1, SMED4_DN107660_c0_g1_i1.p1, SMED4_DN106717_c0_g1_i1.p1
HOG00071826_73	SMED4_DN16436_c0_g1_i3.p1
HOG00061283_70	SMED4_DN20485_c0_g1_i1.p1
HOG00039121_64	SMED4_DN35241_c1_g3_i1.p1
HOG00071082_73	SMED4_DN30133_c2_g1_i1.p1, SMED4_DN1775_c0_g1_i7.p1, SMED4_DN2755_c0_g1_i1.p1, SMED4_DN19058_c0_g1_i1.p1
HOG00044851_65	SMED4_DN10877_c0_g2_i7.p1
HOG00028546_63	SMED4_DN105121_c0_g1_i1.p1
HOG00050792_67	SMED4_DN140917_c0_g1_i1.p1, SMED4_DN124904_c0_g1_i1.p1
HOG00062003_70	SMED4_DN803_c0_g2_i1.p1, SMED4_DN1432_c0_g1_i6.p1
HOG00037554_64	SMED4_DN2120_c0_g1_i1.p1
HOG00071884_73	SMED4_DN16158_c1_g2_i2.p1, SMED4_DN16158_c1_g1_i10.p1
HOG00014180_32	SMED4_DN64556_c0_g1_i1.p1
HOG00045858_65	SMED4_DN20651_c0_g1_i4.p1
HOG00067410_73	SMED4_DN11443_c0_g1_i3.p1, SMED4_DN107734_c0_g1_i1.p1, SMED4_DN92525_c0_g1_i1.p1, SMED4_DN62109_c0_g1_i1.p1, SMED4_DN81156_c0_g1_i1.p1
HOG00033983_63	SMED4_DN1819_c0_g1_i12.p1
HOG00064688_72	SMED4_DN117963_c0_g1_i1.p1
HOG00037328_64	SMED4_DN123595_c0_g1_i2.p1
HOG00061229_70	SMED4_DN2897_c0_g2_i1.p1, SMED4_DN2897_c0_g1_i3.p1
HOG00054293_68	SMED4_DN13158_c0_g2_i10.p1
HOG00013280_31	SMED4_DN6050_c1_g1_i1.p1, SMED4_DN1343_c0_g2_i1.p1
HOG00064553_72	SMED4_DN534_c1_g1_i14.p1, SMED4_DN4066_c1_g2_i1.p1
HOG00060215_70	SMED4_DN22176_c0_g2_i3.p1, SMED4_DN6357_c0_g2_i3.p1
HOG00070636_73	SMED4_DN7444_c0_g1_i3.p1
HOG00054338_68	SMED4_DN359_c0_g1_i18.p1
HOG00069887_73	SMED4_DN1910_c0_g1_i1.p1, SMED4_DN7543_c0_g1_i2.p1
HOG00064296_72	SMED4_DN4021_c0_g1_i1.p1
HOG00060342_70	SMED4_DN35237_c0_g1_i4.p1
HOG00072435_73	SMED4_DN33475_c0_g3_i1.p1
HOG00056973_69	SMED4_DN5709_c0_g3_i2.p1, SMED4_DN29641_c5_g1_i1.p1, SMED4_DN77426_c0_g1_i1.p1
HOG00071950_73	SMED4_DN4458_c1_g4_i1.p1, SMED4_DN610_c2_g1_i23.p1, SMED4_DN1992_c0_g1_i9.p1, SMED4_DN3153_c0_g1_i1.p1, SMED4_DN17984_c0_g1_i3.p1, SMED4_DN37163_c0_g1_i1.p1
HOG00059999_70	SMED4_DN32473_c0_g1_i2.p1, SMED4_DN9426_c0_g1_i2.p1, SMED4_DN3697_c0_g1_i2.p1
HOG00052985_68	SMED4_DN824_c1_g1_i1.p1
HOG00062789_71	SMED4_DN759_c0_g3_i1.p1, SMED4_DN39244_c0_g1_i13.p1
HOG00044759_65	SMED4_DN922_c0_g1_i12.p1
