"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Mascot: Mascot"	"# Peptides (by Search Engine): Mascot"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene ID"	"Ensembl Gene ID"	"Gene Symbol"	"Reactome Pathways"	"WikiPathways"	"# Protein Pathway Groups"	"Abundance Ratio: (head) / (body)"	"Abundance Ratio: (mucus) / (body)"	"Abundance Ratio: (pharynx) / (body)"	"Abundance Ratio: (mucus) / (head)"	"Abundance Ratio: (pharynx) / (head)"	"Abundance Ratio: (pharynx) / (mucus)"	"Abundance Ratio P-Value: (head) / (body)"	"Abundance Ratio P-Value: (mucus) / (body)"	"Abundance Ratio P-Value: (pharynx) / (body)"	"Abundance Ratio P-Value: (mucus) / (head)"	"Abundance Ratio P-Value: (pharynx) / (head)"	"Abundance Ratio P-Value: (pharynx) / (mucus)"	"Abundance Ratio Adj. P-Value: (head) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (body)"	"Abundance Ratio Adj. P-Value: (pharynx) / (body)"	"Abundance Ratio Adj. P-Value: (mucus) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (head)"	"Abundance Ratio Adj. P-Value: (pharynx) / (mucus)"	"Abundances (Grouped): body"	"Abundances (Grouped): head"	"Abundances (Grouped): mucus"	"Abundances (Grouped): pharynx"	"Abundances (Grouped) CV [%]: body"	"Abundances (Grouped) CV [%]: head"	"Abundances (Grouped) CV [%]: mucus"	"Abundances (Grouped) CV [%]: pharynx"	"Abundances (Normalized): F2: Sample, body, 2"	"Abundances (Normalized): F6: Sample, body, 6"	"Abundances (Normalized): F10: Sample, body, 10"	"Abundances (Normalized): F1: Sample, head, 1"	"Abundances (Normalized): F5: Sample, head, 5"	"Abundances (Normalized): F9: Sample, head, 9"	"Abundances (Normalized): F4: Sample, mucus, 4"	"Abundances (Normalized): F8: Sample, mucus, 8"	"Abundances (Normalized): F12: Sample, mucus, 12"	"Abundances (Normalized): F3: Sample, pharynx, 3"	"Abundances (Normalized): F7: Sample, pharynx, 7"	"Abundances (Normalized): F11: Sample, pharynx, 11"	"Found in Sample: [S2] F2: Sample, body, 2"	"Found in Sample: [S6] F6: Sample, body, 6"	"Found in Sample: [S10] F10: Sample, body, 10"	"Found in Sample: [S1] F1: Sample, head, 1"	"Found in Sample: [S5] F5: Sample, head, 5"	"Found in Sample: [S9] F9: Sample, head, 9"	"Found in Sample: [S4] F4: Sample, mucus, 4"	"Found in Sample: [S8] F8: Sample, mucus, 8"	"Found in Sample: [S12] F12: Sample, mucus, 12"	"Found in Sample: [S3] F3: Sample, pharynx, 3"	"Found in Sample: [S7] F7: Sample, pharynx, 7"	"Found in Sample: [S11] F11: Sample, pharynx, 11"	"# Protein Groups"	"Modifications"
"-183935828173647243"	"False"	"High"	"IsMasterProtein"	"SMED3_DN508_c0_g2_i15.p1"	"SMED3_DN508_c0_g2~~SMED3_DN508_c0_g2_i15.p1  ORF type:complete len:271 (-),score=54.12 SMED3_DN508_c0_g2_i15:311-1123(-)"	"0.000"	"5.684"	"6"	"2"	"12"	"2"	"270"	"29.7"	"7.39"	"86"	"2"	""	""	""	""	""	"SMED3_DN508_c0_g2_i15.p1"	""	""	""	""	"0"	"0.482"	"0.734"	"0.395"	"1.523"	"0.819"	"0.538"	""	""	""	"0.702645617893128"	"0.998639040382073"	"0.548347500522584"	""	""	""	"0.913208525255113"	"1"	"0.889550346467714"	"16135816"	"7776473.94127831"	"11844992.3977433"	"6370890.79826449"	""	"49.64"	"27.61"	"60.24"	"16135816"	""	""	"11219782.4287279"	"5389903.71190622"	""	"11844992.3977433"	"16637549.6243383"	"9773202.55512245"	"13776122.6342654"	"6370890.79826449"	"4425512.80635434"	"High"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"1"	""
"-7551323189754950045"	"False"	"High"	"IsMasterProtein"	"SMED3_DN134705_c0_g1_i1.p1"	"SMED3_DN134705_c0_g1~~SMED3_DN134705_c0_g1_i1.p1  ORF type:complete len:153 (-),score=25.40 SMED3_DN134705_c0_g1_i1:61-519(-)"	"0.000"	"24.461"	"42"	"4"	"34"	"4"	"152"	"17.0"	"8.44"	"267"	"4"	""	""	""	""	""	"SMED3_DN134705_c0_g1_i1.p1"	""	""	""	""	"0"	"0.580"	"0.202"	"1.624"	"0.348"	"2.802"	"8.059"	"0.878490888590756"	"0.0379189172761442"	"0.910050169744551"	"0.107472164764243"	"0.534472022999517"	"0.0154310043841319"	"0.999999996406151"	"0.167191817989994"	"0.999999999997085"	"0.29091271345736"	"1"	"0.0898004113932454"	"16115738.5886063"	"9339858.06981293"	"3247643.20207771"	"26171725.3919256"	"45.53"	"83.59"	"74.72"	"17.78"	"30088695.3333333"	"16115738.5886063"	"13221310.373892"	"31733942.9410918"	"9339858.06981293"	"7428854.52404954"	"1808030.68758444"	"8035713.02321806"	"3247643.20207771"	"30143899.9438574"	"26171725.3919256"	"21006798.3540742"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"1595764111565321350"	"False"	"High"	"IsMasterProtein"	"SMED3_DN8158_c0_g1_i3.p1"	"SMED3_DN8158_c0_g1~~SMED3_DN8158_c0_g1_i3.p1  ORF type:5prime_partial len:236 (-),score=32.65 SMED3_DN8158_c0_g1_i3:92-799(-)"	"0.000"	"7.269"	"5"	"1"	"8"	"1"	"235"	"27.0"	"8.91"	"59"	"1"	""	""	""	""	""	"SMED3_DN8158_c0_g1_i3.p1"	""	""	""	""	"0"	"1.144"	"0.010"	"0.238"	"0.010"	"0.208"	"100.000"	"0.912326392955059"	""	"0.912099052828717"	""	"0.703731929533877"	""	"0.999999996406151"	""	"0.999999999997085"	""	"1"	""	"16076895.5350699"	"18396982.8137786"	""	"3830229.94165366"	"91.40"	"62.60"	""	"115.04"	"619138.875"	"27346910.8890389"	"16076895.5350699"	"3749598.33685931"	"18396982.8137786"	"18441418.2857506"	""	""	""	"954011.197371888"	"3830229.94165366"	"15906327.6984745"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"High"	"1"	""
"-7949261122194373907"	"False"	"High"	"IsMasterProtein"	"SMED3_DN10204_c1_g1_i1.p1"	"SMED3_DN10204_c1_g1~~SMED3_DN10204_c1_g1_i1.p1  ORF type:5prime_partial len:106 (-),score=14.31 SMED3_DN10204_c1_g1_i1:639-956(-)"	"0.000"	"11.746"	"31"	"3"	"19"	"3"	"105"	"11.6"	"8.76"	"250"	"3"	""	""	""	""	""	"SMED3_DN10204_c1_g1_i1.p1"	""	""	""	""	"0"	"0.758"	"1.392"	"0.261"	"1.837"	"0.345"	"0.188"	"0.941993346311602"	"0.522886041184066"	"0.546032084353494"	"0.824147726370461"	"0.287806133795253"	"0.0889328548437232"	"0.999999996406151"	"0.956516651152062"	"0.999999999997085"	"0.999648419305423"	"1"	"0.290157067546444"	"16066143.8452971"	"12173396.5114836"	"22364454.8844759"	"4195184.39013282"	"77.12"	"7.56"	"18.76"	"84.41"	"1568578.83333333"	"16066143.8452971"	"19741771.5839335"	"11523552.8906779"	"12173396.5114836"	"13364247.1527885"	"21709499.5544095"	"30044559.4855548"	"22364454.8844759"	"595349.046138249"	"7523464.29503388"	"4195184.39013282"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"1"	""
"-5607539026714680291"	"False"	"High"	"IsMasterProtein"	"SMED3_DN204_c0_g3_i6.p1"	"SMED3_DN204_c0_g3~~SMED3_DN204_c0_g3_i6.p1  ORF type:complete len:231 (-),score=34.93 SMED3_DN204_c0_g3_i6:139-831(-)"	"0.000"	"17.711"	"20"	"4"	"17"	"4"	"230"	"26.6"	"6.80"	"138"	"4"	""	""	""	""	""	"SMED3_DN204_c0_g3_i6.p1"	""	""	""	""	"0"	"0.146"	"0.077"	"0.391"	"0.528"	"2.675"	"5.066"	""	""	""	"0.917901540762361"	"0.991209886728358"	"0.814275331550084"	""	""	""	"0.99999999999253"	"1"	"0.99999999940526"	"16048568.3333333"	"2343691.99401844"	"1237496.37950368"	"6268563.81465971"	""	"114.62"	"131.68"	"89.23"	"16048568.3333333"	""	""	"11410322.6707783"	"2343691.99401844"	"1035210.4584838"	"233676.968337372"	"6553479.78956041"	""	"13031391.6488067"	"6268563.81465971"	"991397.210420268"	"High"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Not Found"	"High"	"High"	"High"	"1"	""
"8633173797853323753"	"False"	"High"	"IsMasterProtein"	"SMED3_DN6699_c0_g1_i1.p1"	"SMED3_DN6699_c0_g1~~SMED3_DN6699_c0_g1_i1.p1  ORF type:5prime_partial len:202 (-),score=40.70 SMED3_DN6699_c0_g1_i1:557-1162(-)"	"0.000"	"21.038"	"34"	"6"	"37"	"6"	"201"	"23.5"	"8.57"	"480"	"6"	""	""	""	""	""	"SMED3_DN6699_c0_g1_i1.p1"	""	""	""	""	"0"	"0.890"	"0.259"	"1.157"	"0.291"	"1.301"	"4.475"	"0.999641871928922"	"0.303614229113921"	"0.990706008394436"	"0.268259894449537"	"0.997180756619459"	"0.207715870629951"	"0.999999996406151"	"0.678860013135333"	"0.999999999997085"	"0.511691359459066"	"1"	"0.497283454727732"	"15991174.693668"	"14226931.3819477"	"4136030.32046848"	"18509361.8793728"	"17.92"	"58.82"	"118.37"	"35.45"	"16006235"	"15991174.693668"	"11498120.8517476"	"28504235.4056771"	"14226931.3819477"	"8922676.03589352"	"739659.639060362"	"17316241.8380095"	"4136030.32046848"	"24919337.9636814"	"18509361.8793728"	"11855820.8690208"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"1"	""
"8193498468554776618"	"False"	"High"	"IsMasterProtein"	"SMED3_DN78167_c0_g1_i1.p1"	"SMED3_DN78167_c0_g1~~SMED3_DN78167_c0_g1_i1.p1  ORF type:complete len:110 (-),score=11.02 SMED3_DN78167_c0_g1_i1:72-401(-)"	"0.000"	"10.643"	"36"	"4"	"17"	"4"	"109"	"12.2"	"8.31"	"196"	"4"	""	""	""	""	""	"SMED3_DN78167_c0_g1_i1.p1"	""	""	""	""	"0"	"1.619"	"0.376"	"0.765"	"0.232"	"0.472"	"2.033"	"0.145193318141722"	"0.0188354490417801"	"0.538630246437131"	"0.000994789624356507"	"0.0208405476391635"	"0.130882810535515"	"0.658698652469311"	"0.105526810657153"	"0.999999999997085"	"0.0211754749147061"	"0.425580101574346"	"0.374957161540814"	"15959317.0636415"	"25845231.5137733"	"6004107.44791121"	"12203585.1689405"	"10.93"	"14.46"	"46.50"	"14.82"	"16240101.0625"	"13242056.1618547"	"15959317.0636415"	"28464131.0548397"	"21268371.7895328"	"25845231.5137733"	"6004107.44791121"	"10971113.2709027"	"4606753.99926305"	"12203585.1689405"	"9462897.56067678"	"12547698.8991676"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"1"	""
"-4131394107778162295"	"False"	"High"	"IsMasterProtein"	"SMED3_DN90033_c0_g1_i1.p1"	"SMED3_DN90033_c0_g1~~SMED3_DN90033_c0_g1_i1.p1  ORF type:complete len:700 (-),score=117.19 SMED3_DN90033_c0_g1_i1:228-2237(-)"	"0.000"	"40.296"	"20"	"12"	"31"	"12"	"669"	"75.4"	"6.54"	"241"	"12"	""	""	""	""	""	"SMED3_DN90033_c0_g1_i1.p1"	""	""	""	""	"0"	"0.268"	"0.311"	"0.202"	"1.162"	"0.756"	"0.651"	""	""	""	""	""	""	""	""	""	""	""	""	"15894886.6666667"	"4252076.85964362"	"4941823.00074118"	"3214779.9210357"	""	"72.17"	""	""	"15894886.6666667"	""	""	"1024543.47913587"	"4252076.85964362"	"6845227.91654"	""	"4941823.00074118"	""	"3214779.9210357"	""	""	"High"	"Not Found"	"Not Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Not Found"	"High"	"Peak Found"	"Peak Found"	"1"	""
"3098980610632186071"	"False"	"High"	"IsMasterProtein"	"SMED3_DN23830_c0_g1_i2.p1"	"SMED3_DN23830_c0_g1~~SMED3_DN23830_c0_g1_i2.p1  ORF type:complete len:183 (-),score=41.67 SMED3_DN23830_c0_g1_i2:978-1526(-)"	"0.000"	"24.312"	"32"	"4"	"55"	"4"	"182"	"20.6"	"4.77"	"763"	"4"	""	""	""	""	""	"SMED3_DN23830_c0_g1_i2.p1"	""	""	""	""	"0"	"1.331"	"0.189"	"0.789"	"0.142"	"0.593"	"4.171"	"0.387668155373743"	"0.00103424104239958"	"0.776247562904281"	"0.000294968558786968"	"0.116425762654144"	"0.00230175788292075"	"0.904493445135626"	"0.0148455110210129"	"0.999999999997085"	"0.0117314688205273"	"0.858891642469631"	"0.0265587448029318"	"15845053.5853666"	"21092143.26777"	"2998715.52325328"	"12506400.1653567"	"34.56"	"11.64"	"15.51"	"24.42"	"9899072.33333333"	"15845053.5853666"	"20538844.7640157"	"23625132.2762893"	"21092143.26777"	"18703315.4181655"	"2685946.31469945"	"3347905.6302011"	""	"9269213.40547293"	"12506400.1653567"	"15300789.9276859"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"-3692107066363315160"	"False"	"High"	"IsMasterProtein"	"SMED3_DN25312_c1_g1_i1.p1"	"SMED3_DN25312_c1_g1~~SMED3_DN25312_c1_g1_i1.p1  ORF type:internal len:167 (+),score=31.86 SMED3_DN25312_c1_g1_i1:1-498(+)"	"0.000"	"38.844"	"43"	"5"	"92"	"1"	"166"	"18.7"	"8.43"	"807"	"5"	""	""	""	""	""	"SMED3_DN25312_c1_g1_i1.p1"	""	""	""	""	"0"	"0.010"	"0.702"	"5.637"	"100.000"	"100.000"	"8.033"	""	"0.862777331406861"	"0.0273833598215819"	""	""	"0.0150973505503194"	""	"0.99999999991784"	"0.999999999997085"	""	""	"0.088152315293811"	"15802922"	""	"11089155.3257786"	"89078993.0816851"	"52.62"	""	"69.38"	"25.85"	"15802922"	"5835088.41750035"	"20109692.9608332"	""	""	""	"3743116.64836326"	"19696716.3704427"	"11089155.3257786"	"96411518.9613318"	"89078993.0816851"	"57104085.0109679"	"High"	"High"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"2892338108086343599"	"False"	"High"	"IsMasterProtein"	"SMED3_DN958_c0_g1_i3.p1"	"SMED3_DN958_c0_g1~~SMED3_DN958_c0_g1_i3.p1  ORF type:5prime_partial len:283 (-),score=44.32 SMED3_DN958_c0_g1_i3:69-917(-)"	"0.000"	"27.946"	"25"	"5"	"43"	"5"	"282"	"30.9"	"7.78"	"250"	"5"	""	""	""	""	""	"SMED3_DN958_c0_g1_i3.p1"	""	""	""	""	"0"	"0.826"	"0.413"	"1.044"	"0.500"	"1.265"	"2.527"	"0.999299330431113"	"0.934875934446531"	"0.999997321414747"	"0.89818132186471"	"0.999577740744694"	"0.929709087430516"	"0.999999996406151"	"0.99999999991784"	"0.999999999997085"	"0.99999999999253"	"1"	"0.99999999940526"	"15799705.3513554"	"13049148.2309854"	"6529286.85473229"	"16502386.169359"	"81.22"	"39.15"	"37.13"	"73.16"	"2714512.5"	"27765385.3251017"	"15799705.3513554"	"7163083.1899637"	"13049148.2309854"	"16715344.0751108"	""	"8543386.35652121"	"4990010.40715419"	"3105532.17569544"	"16502386.169359"	"24241416.8798596"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Not Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	""
"-4168469434465743831"	"False"	"High"	"IsMasterProtein"	"SMED3_DN1271_c0_g1_i17.p1"	"SMED3_DN1271_c0_g1~~SMED3_DN1271_c0_g1_i17.p1  ORF type:complete len:501 (-),score=106.69 SMED3_DN1271_c0_g1_i17:154-1656(-)"	"0.000"	"36.402"	"21"	"8"	"77"	"8"	"500"	"54.4"	"8.56"	"1083"	"8"	""	""	""	""	""	"SMED3_DN1271_c0_g1_i17.p1"	""	""	""	""	"0"	"1.105"	"0.482"	"1.443"	"0.436"	"1.306"	"2.996"	"0.793983938608742"	""	"0.963000566208409"	""	"0.966400143651155"	""	"0.999999996406151"	""	"0.999999999997085"	""	"1"	""	"15785446.827434"	"17442006.7055354"	"7602954.2923084"	"22778638.7535075"	"78.56"	"40.06"	""	"75.36"	"21849651.3333333"	"1744725.3093069"	"15785446.827434"	"13989272.9062975"	"17442006.7055354"	"29483537.3095002"	""	"7602954.2923084"	""	"22778638.7535075"	"30509872.0968476"	"3059096.7391856"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Not Found"	"High"	"High"	"High"	"1"	""
"-5104824656624261102"	"False"	"High"	"IsMasterProtein"	"SMED3_DN24868_c0_g1_i2.p1"	"SMED3_DN24868_c0_g1~~SMED3_DN24868_c0_g1_i2.p1  ORF type:complete len:100 (-),score=11.15 SMED3_DN24868_c0_g1_i2:400-699(-)"	"0.000"	"6.535"	"18"	"2"	"17"	"2"	"99"	"11.1"	"9.61"	"132"	"2"	""	""	""	""	""	"SMED3_DN24868_c0_g1_i2.p1"	""	""	""	""	"0"	"0.631"	"0.922"	"1.088"	"1.461"	"1.725"	"1.181"	"0.862178658794173"	"0.998991791331646"	"0.893342543170993"	"0.915813378548766"	"0.490018211716522"	"0.83437866833567"	"0.999999996406151"	"0.99999999991784"	"0.999999999997085"	"0.99999999999253"	"1"	"0.99999999940526"	"15770784.842153"	"9950676.98439268"	"14536405.0527545"	"17161611.9527979"	"42.52"	"47.60"	"5.67"	"21.06"	"23006689.5"	"9367388.70586125"	"15770784.842153"	"20177974.958338"	"8976968.41581353"	"9950676.98439268"	"13659517.1609036"	"15302856.6760274"	"14536405.0527545"	"22825117.8321829"	"17161611.9527979"	"15379968.150677"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"1"	""
"7349601634798476750"	"False"	"High"	"IsMasterProtein"	"SMED3_DN9023_c1_g1_i1.p1"	"SMED3_DN9023_c1_g1~~SMED3_DN9023_c1_g1_i1.p1  ORF type:complete len:377 (-),score=88.48 SMED3_DN9023_c1_g1_i1:222-1352(-)"	"0.000"	"41.093"	"33"	"9"	"51"	"9"	"376"	"42.5"	"6.70"	"288"	"9"	""	""	""	""	""	"SMED3_DN9023_c1_g1_i1.p1"	""	""	""	""	"0"	"2.306"	"0.090"	"1.531"	"0.039"	"0.664"	"17.044"	"0.722337240310748"	"0.106136338919254"	"0.989575128367848"	"0.0241031130976889"	"0.872104187304358"	"0.0691880462288277"	"0.999999996406151"	"0.327065226406606"	"0.999999999997085"	"0.110053892029125"	"1"	"0.241929339368511"	"15714931.0906037"	"36232283.1028663"	"1411977.24531275"	"24065403.0052431"	"42.99"	"13.39"	"141.24"	"32.88"	"29298168.6666667"	"13844838.5716731"	"15714931.0906037"	"43421424.07115"	"36232283.1028663"	"33666884.5651439"	"1411977.24531275"	"18435636.6987497"	"1175393.55356663"	"31113861.0548332"	"24065403.0052431"	"15616941.771707"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"7650425208799592802"	"False"	"High"	"IsMasterProtein"	"SMED3_DN26616_c0_g3_i1.p1"	"SMED3_DN26616_c0_g3~~SMED3_DN26616_c0_g3_i1.p1  ORF type:complete len:220 (-),score=48.28 SMED3_DN26616_c0_g3_i1:22-681(-)"	"0.000"	"9.533"	"10"	"2"	"23"	"2"	"219"	"25.0"	"8.95"	"292"	"2"	""	""	""	""	""	"SMED3_DN26616_c0_g3_i1.p1"	""	""	""	""	"0"	"1.041"	"0.097"	"0.685"	"0.093"	"0.658"	"7.085"	"0.920605758876303"	""	"0.132299121712358"	""	"0.0627460846661807"	""	"0.999999996406151"	""	"0.999999999997085"	""	"0.655388294750223"	""	"15680436.6626138"	"16321950.2471182"	"1515522.31278296"	"10737524.0489925"	"15.14"	"15.37"	""	"15.04"	"12528250.5"	"15680436.6626138"	"16955946.9459374"	"18773381.9085344"	"13768274.6197637"	"16321950.2471182"	""	"1515522.31278296"	""	"12424455.8395749"	"10737524.0489925"	"9182739.8538064"	"High"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"1"	""
"-8388389396701658483"	"False"	"High"	"IsMasterProtein"	"SMED3_DN4503_c0_g1_i13.p1"	"SMED3_DN4503_c0_g1~~SMED3_DN4503_c0_g1_i13.p1  ORF type:complete len:266 (-),score=65.42 SMED3_DN4503_c0_g1_i13:88-885(-)"	"0.000"	"25.033"	"24"	"5"	"52"	"4"	"265"	"28.8"	"9.67"	"438"	"5"	""	""	""	""	""	"SMED3_DN4503_c0_g1_i13.p1"	""	""	""	""	"0"	"1.375"	"1.053"	"0.851"	"0.766"	"0.619"	"0.808"	"0.404356306583998"	"0.857696770182548"	"0.999182160531282"	"0.8224680480392"	"0.347300220155558"	"0.797001769390123"	"0.914269658708226"	"0.99999999991784"	"0.999999999997085"	"0.998145109692112"	"1"	"0.99999999940526"	"15668268.7302565"	"21547628.2996599"	"16495774.6405686"	"13332029.7354756"	"51.13"	"14.47"	"21.35"	"30.58"	"7535579.5"	"23430657.4510481"	"15668268.7302565"	"26316872.9267362"	"20044024.8772797"	"21547628.2996599"	"22125784.6654458"	"16495774.6405686"	"14870132.2694651"	"10044588.35144"	"13332029.7354756"	"18515061.3920845"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"7674046202273182352"	"False"	"High"	"IsMasterProtein"	"SMED3_DN77342_c0_g1_i1.p1"	"SMED3_DN77342_c0_g1~~SMED3_DN77342_c0_g1_i1.p1  ORF type:complete len:251 (-),score=42.00 SMED3_DN77342_c0_g1_i1:41-733(-)"	"0.000"	"23.326"	"34"	"7"	"37"	"7"	"230"	"26.1"	"4.82"	"364"	"7"	""	""	""	""	""	"SMED3_DN77342_c0_g1_i1.p1"	""	""	""	""	"0"	"0.979"	"0.301"	"0.452"	"0.307"	"0.462"	"1.503"	"0.954418146546598"	""	"0.384090425350422"	""	"0.633282867175613"	""	"0.999999996406151"	""	"0.999999999997085"	""	"1"	""	"15663234.6666667"	"15340889.8138793"	"4712338.51924037"	"7084288.47108768"	"133.55"	"45.54"	""	"74.47"	"15663234.6666667"	"9267189.18827788"	"137877981.679033"	"29232177.982239"	"15340889.8138793"	"13069144.8717164"	""	"4712338.51924037"	""	"14994969.1220225"	"2815394.68514614"	"7084288.47108768"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"1"	""
"417275817631594534"	"False"	"High"	"IsMasterProtein"	"SMED3_DN2505_c0_g2_i4.p1"	"SMED3_DN2505_c0_g2~~SMED3_DN2505_c0_g2_i4.p1  ORF type:complete len:308 (-),score=68.24 SMED3_DN2505_c0_g2_i4:101-1024(-)"	"0.000"	"31.936"	"34"	"8"	"52"	"8"	"307"	"36.2"	"4.77"	"344"	"8"	""	""	""	""	""	"SMED3_DN2505_c0_g2_i4.p1"	""	""	""	""	"0"	"1.639"	"0.221"	"0.573"	"0.135"	"0.350"	"2.589"	"0.510562212530635"	""	"0.993931304843765"	""	"0.39386928091021"	""	"0.986126208879735"	""	"0.999999999997085"	""	"1"	""	"15657506.7830304"	"25669858.6134141"	"3466785.66086772"	"8976908.92757712"	"77.01"	"24.67"	""	"70.76"	"1481225.16666667"	"15657506.7830304"	"18785878.0600058"	"19763123.2158153"	"32580008.273348"	"25669858.6134141"	""	"3466785.66086772"	""	"1962778.47849661"	"8976908.92757712"	"13280565.6952058"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Not Found"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"1"	""
"2008702466963002823"	"False"	"High"	"IsMasterProtein"	"SMED3_DN35215_c0_g1_i2.p1"	"SMED3_DN35215_c0_g1~~SMED3_DN35215_c0_g1_i2.p1  ORF type:complete len:319 (-),score=65.03 SMED3_DN35215_c0_g1_i2:88-993(-)"	"0.000"	"26.679"	"26"	"6"	"49"	"6"	"301"	"35.8"	"5.02"	"596"	"6"	""	""	""	""	""	"SMED3_DN35215_c0_g1_i2.p1"	""	""	""	""	"0"	"1.110"	"1.345"	"0.416"	"1.212"	"0.375"	"0.309"	"0.515920744679014"	"0.484931686587308"	"0.991703522330015"	"0.999912955619527"	"0.749909727351315"	"0.721038801629242"	"0.991803449115805"	"0.927193156707769"	"0.999999999997085"	"0.99999999999253"	"1"	"0.99999999940526"	"15648439.8748983"	"17372044.0326381"	"21048193.3385977"	"6513688.35555043"	"84.46"	"31.87"	"34.24"	"74.60"	"376884.125"	"18158698.4272426"	"15648439.8748983"	"17372044.0326381"	"16940820.0457449"	"28752984.0497277"	"30856952.6236309"	"15648149.7878159"	"21048193.3385977"	""	"3622692.11346385"	"11711769.7735194"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"1"	""
"489843097407592715"	"False"	"High"	"IsMasterProtein"	"SMED3_DN5304_c0_g1_i5.p1"	"SMED3_DN5304_c0_g1~~SMED3_DN5304_c0_g1_i5.p1  ORF type:complete len:145 (-),score=28.29 SMED3_DN5304_c0_g1_i5:38-472(-)"	"0.000"	"13.439"	"32"	"3"	"14"	"3"	"144"	"16.6"	"4.88"	"70"	"3"	""	""	""	""	""	"SMED3_DN5304_c0_g1_i5.p1"	""	""	""	""	"0"	"0.738"	"0.115"	"0.634"	"0.155"	"0.860"	"5.530"	"0.202853728306963"	""	"0.160227998335426"	""	"0.99703541635682"	""	"0.745049987417523"	""	"0.999999999997085"	""	"1"	""	"15644670.7957968"	"11544007.8786008"	"1794256.32153192"	"9922137.66218732"	"14.80"	"17.89"	""	"27.63"	"13469912"	"15644670.7957968"	"18128602.6974553"	"11995057.2108753"	"8485788.92698987"	"11544007.8786008"	""	"1794256.32153192"	""	"7879906.91933701"	"13584620.6285756"	"9922137.66218732"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"High"	"High"	"High"	"1"	""
