Gene	GO
SMED3_DN10413_c0_g1	GO:0030970,GO:0030433,GO:0030968,GO:0036513,GO:0036502,GO:0030176,GO:0005783,GO:0005737,GO:0005881,GO:0005789,GO:1990381,GO:0016209,GO:0051117
SMED3_DN104144_c0_g1	GO:0007030,GO:0005783,GO:0005793,GO:0005737,GO:0016020,GO:0016021,GO:0097020
SMED3_DN104153_c0_g1	GO:0050658,GO:0006897,GO:0035194,GO:0005737,GO:0016324,GO:0005886,GO:0016021,GO:0004672,GO:0005524
SMED3_DN104174_c0_g1	GO:0000282,GO:0010513,GO:0006897,GO:0051666,GO:0050790,GO:0036267,GO:0006886,GO:0051017,GO:0005794,GO:0005935,GO:0005829,GO:0005934,GO:0005525,GO:0005515,GO:0003729,GO:0003924,GO:0008047
SMED3_DN10417_c0_g2	GO:0007165,GO:0005737,GO:0051721,GO:0051722
SMED3_DN104182_c0_g1	GO:0060213,GO:0000291,GO:0006367,GO:0045948,GO:0006366,GO:0005665,GO:0005634,GO:0016591,GO:0000932,GO:0003727,GO:0003899,GO:0003697,GO:0031369
SMED3_DN1041_c0_g1	GO:0007419,GO:0007417,GO:0006607,GO:0050790,GO:0051301,GO:0007346,GO:0050767,GO:0046822,GO:0007049,GO:0005634,GO:0000793,GO:0005737,GO:0003682,GO:0005085
SMED3_DN104305_c0_g1	GO:0006412,GO:0045903,GO:0022627,GO:0005840,GO:0019843,GO:0003735
SMED3_DN104334_c0_g1	GO:0006631,GO:0009437,GO:0005743,GO:0005777,GO:0005739,GO:0004092
SMED3_DN104394_c0_g1	GO:0022904,GO:0031305,GO:0005743,GO:0005739,GO:0051539,GO:0004174,GO:0046872
SMED3_DN104396_c0_g1	GO:0002250,GO:2001259,GO:0045453,GO:0030574,GO:0019886,GO:0097067,GO:0051930,GO:0050729,GO:0001656,GO:0010447,GO:0034769,GO:0051603,GO:0016485,GO:0005576,GO:0005770,GO:0005615,GO:0045335,GO:0016020,GO:0009986,GO:0005764,GO:0043394,GO:0005518,GO:0001968,GO:0004197,GO:0043236,GO:0004252
SMED3_DN10442_c0_g1	GO:1903818,GO:0030431,GO:0045187,GO:0032222,GO:0048511,GO:0031225,GO:0005886,GO:0034235
SMED3_DN104453_c0_g1	GO:0071786,GO:0061024,GO:0016020,GO:0005783,GO:0016021,GO:0005515
SMED3_DN10445_c0_g1	GO:0006412,GO:0005840,GO:0003735
SMED3_DN10449_c0_g1	GO:0006511,GO:0006974,GO:0016567,GO:0005813,GO:0005634,GO:0005737,GO:0004839,GO:0005524
SMED3_DN10450_c0_g1	GO:0007417,GO:0005634,GO:0043565
SMED3_DN104510_c0_g1	GO:0000290,GO:0050832,GO:0035195,GO:0031087,GO:0033962,GO:0045451,GO:0000932,GO:0045495,GO:0019900
SMED3_DN104514_c0_g1	GO:0048731,GO:0045196,GO:0006457,GO:0048488,GO:0007269,GO:0000132,GO:0015630,GO:0098793,GO:0005737,GO:0005525,GO:0003924
SMED3_DN104553_c0_g1	GO:0033344,GO:0008203,GO:0032367,GO:0005576,GO:0005783,GO:0005764,GO:0015485
SMED3_DN104640_c0_g1	GO:0045292,GO:0005634,GO:0005829,GO:0035145,GO:0005737,GO:0005515
SMED3_DN104650_c0_g1	GO:0015698,GO:0098656,GO:0045454,GO:0051027,GO:0071902,GO:0005741,GO:0005739,GO:0016021,GO:0046930,GO:0015288,GO:0008308
SMED3_DN104698_c0_g1	GO:0009408,GO:0035970,GO:0072347,GO:0090141,GO:0071902,GO:0005741,GO:0005739,GO:0016021,GO:0017018,GO:0043539,GO:0019900
SMED3_DN104766_c0_g1	GO:0006412,GO:0005840,GO:0003735
SMED3_DN10477_c1_g1	GO:0006094,GO:0006096,GO:0005737,GO:0097367,GO:0004347
SMED3_DN1047_c1_g1	GO:0015813,GO:0015804,GO:0005886,GO:0016021,GO:0015175,GO:0005313,GO:0015501,GO:0046872
SMED3_DN10482_c0_g1	GO:0022904,GO:0033539,GO:0005759,GO:0005739,GO:0009055,GO:0050660
SMED3_DN104845_c0_g1	GO:1903818,GO:0030431,GO:0045187,GO:0032222,GO:0048511,GO:0031225,GO:0005886,GO:0030548
SMED3_DN10486_c0_g1	GO:0006102,GO:0006099,GO:0005962,GO:0005739,GO:0051287,GO:0000287,GO:0004449
SMED3_DN1048_c0_g1	GO:0048149,GO:0005634,GO:0005654,GO:0008270,GO:0042393
SMED3_DN104951_c0_g1	GO:1903818,GO:0030431,GO:0032222,GO:0005576,GO:0034235
SMED3_DN10497_c0_g1	GO:0033617,GO:0005634,GO:0005829,GO:0005507
SMED3_DN10504_c0_g1	GO:0071472,GO:0071469,GO:0005783,GO:0005789,GO:0016021,GO:0005515,GO:0035591
SMED3_DN105121_c0_g1	GO:0032774,GO:0019083,GO:0000428,GO:0003677,GO:0003899
SMED3_DN105132_c0_g1	GO:0006904,GO:0048789,GO:0048790,GO:0017157,GO:0048172,GO:0006887,GO:0031630,GO:0032482,GO:0007269,GO:0046718,GO:0009306,GO:0072659,GO:0048786,GO:0005886,GO:0008021,GO:0005768,GO:0045202,GO:0005525,GO:0003924
SMED3_DN10518_c0_g1	GO:0006979,GO:0009408,GO:0000290,GO:0002119,GO:0043085,GO:0009411,GO:0000003,GO:0008340,GO:0006397,GO:0040012,GO:0031087,GO:0000184,GO:0005737,GO:0043186,GO:0000932,GO:0050072,GO:0008047,GO:0003729
SMED3_DN1051_c0_g1	GO:0006412,GO:0006414,GO:0005737,GO:0003746,GO:0005525,GO:0003924
SMED3_DN105294_c0_g1	GO:0006412,GO:0005737,GO:0004045
SMED3_DN105325_c0_g1	GO:0006355,GO:0006457,GO:0016272,GO:0005737,GO:0051082
SMED3_DN10532_c0_g1	GO:0000278,GO:0008104,GO:0051495,GO:0035204,GO:0007616,GO:0008302,GO:0008045,GO:0110069,GO:0051764,GO:0030708,GO:0048149,GO:0008340,GO:0007303,GO:0045214,GO:0007301,GO:0005884,GO:0005829,GO:0005634,GO:0035182,GO:0045179,GO:0070938,GO:0048471,GO:0035324,GO:0015629,GO:0005886,GO:0035183,GO:0030018,GO:0051015
SMED3_DN10534_c0_g1	GO:0006412,GO:0001732,GO:0002183,GO:0005852,GO:0016282,GO:0033290,GO:0005737,GO:0003743
SMED3_DN10544_c0_g1	GO:0000002,GO:0006310,GO:0090297,GO:0032543,GO:0006355,GO:0034599,GO:0005762,GO:0005634,GO:0005739,GO:0005840,GO:0005743,GO:0003735,GO:0003697,GO:0000150
SMED3_DN105482_c0_g1	GO:0007268,GO:0030141,GO:0042470,GO:0005887,GO:0030285,GO:0008021,GO:0030672,GO:0070062,GO:0005515
SMED3_DN10548_c0_g1	GO:0002181,GO:0005829,GO:0022627,GO:0042788,GO:0005737,GO:0098556,GO:0005791,GO:0003729,GO:0003735
SMED3_DN1054_c0_g1	GO:0006511,GO:0016567,GO:0016020,GO:0033644,GO:0016021,GO:0004842,GO:0008270,GO:0072572
SMED3_DN105616_c0_g1	GO:0033344,GO:0008203,GO:0032367,GO:0005576,GO:0005783,GO:0005764,GO:0015485
SMED3_DN10566_c0_g2	GO:0030041,GO:0043327,GO:0016050,GO:0005737,GO:0031982,GO:0048471,GO:0005886,GO:0008017
SMED3_DN1057_c0_g1	GO:0046928,GO:0006836,GO:1990502,GO:0090325,GO:0005794,GO:0005737,GO:0012505,GO:0019904,GO:0031267
SMED3_DN105813_c0_g1	GO:0007411,GO:0070593,GO:0007156,GO:0005576,GO:0005886,GO:0030424,GO:0098632
SMED3_DN10582_c0_g1	GO:0014059,GO:0071277,GO:0017156,GO:0017158,GO:0030154,GO:0005886,GO:0070382,GO:0001786,GO:0005509,GO:0030276,GO:0005544,GO:0019905
SMED3_DN105867_c0_g1	GO:0006915,GO:0043154,GO:0007435,GO:0043065,GO:0070507,GO:0010506,GO:0046330,GO:0005737,GO:0042995,GO:0043027
SMED3_DN10587_c0_g1	GO:1905941,GO:0031103,GO:0043410,GO:0006897,GO:0006508,GO:0031648,GO:0002164,GO:1903746,GO:0005615,GO:0016020,GO:0005576,GO:0005044,GO:0004252
SMED3_DN1058_c0_g3	GO:0006412,GO:0000028,GO:0022627,GO:0045335,GO:0031012,GO:0005840,GO:0003729,GO:0019843,GO:0003735
SMED3_DN1058_c0_g4	GO:0006412,GO:0000028,GO:0022627,GO:0045335,GO:0031012,GO:0005840,GO:0003729,GO:0019843,GO:0003735
SMED3_DN105903_c0_g1	GO:0040011,GO:0030866,GO:0007111,GO:0009792,GO:0000281,GO:0005856,GO:0005884,GO:0005938,GO:0005524
SMED3_DN10590_c0_g1	GO:0010390,GO:0030435,GO:0042275,GO:0042276,GO:0030433,GO:2000639,GO:0031509,GO:0031571,GO:0006366,GO:0070987,GO:0071455,GO:0032508,GO:0071629,GO:0071596,GO:0070534,GO:0120174,GO:0042138,GO:0090089,GO:0000722,GO:0000724,GO:0006353,GO:0005634,GO:1990302,GO:1990304,GO:0033503,GO:0097505,GO:1990303,GO:0000781,GO:0000785,GO:0005737,GO:1990305,GO:0070628,GO:0061631,GO:0003697,GO:0005524,GO:0017116
SMED3_DN105988_c0_g1	GO:0009953,GO:0061355,GO:0006897,GO:0016020,GO:0016021,GO:0038024
SMED3_DN105_c1_g1	GO:0006298,GO:0070682,GO:0005634,GO:0005829,GO:0005737,GO:0005515
SMED3_DN10601_c0_g1	GO:0001881,GO:0006904,GO:0072659,GO:0017157,GO:1902647,GO:0032456,GO:0032869,GO:0009306,GO:1904951,GO:0005769,GO:0030424,GO:0043025,GO:0031045,GO:0005794,GO:0055038,GO:0005797,GO:0055037,GO:0031902,GO:0008021,GO:0005886,GO:0000139,GO:0031901,GO:0032593,GO:0003925,GO:0071532,GO:0005525,GO:0032794
SMED3_DN10604_c0_g5	GO:0017186,GO:0005576,GO:0016603,GO:0008270
SMED3_DN10605_c0_g1	GO:0016031,GO:0006605,GO:0030150,GO:0005741,GO:0005739,GO:0031307,GO:0005742,GO:0030943,GO:0015450
SMED3_DN106087_c0_g1	GO:0010508,GO:0051607,GO:0007165,GO:0040008,GO:0006955,GO:0005615,GO:0005576,GO:0005125,GO:0005133
SMED3_DN10608_c0_g1	GO:0019991,GO:0035072,GO:0016360,GO:0007391,GO:0045196,GO:0016333,GO:0050708,GO:0035070,GO:1904580,GO:0035332,GO:0045464,GO:0016325,GO:0016334,GO:0045184,GO:0055059,GO:0006887,GO:0035293,GO:0006469,GO:0045746,GO:0045175,GO:0051668,GO:0007399,GO:0045167,GO:0007406,GO:0045571,GO:0045176,GO:0007049,GO:0048730,GO:0035212,GO:0007423,GO:0090163,GO:0030866,GO:0072697,GO:0032878,GO:0007314,GO:0098725,GO:0000132,GO:0016327,GO:0005920,GO:0030864,GO:0031012,GO:0042734,GO:0005886,GO:0000139,GO:0005938,GO:0031256,GO:0005096,GO:0004860,GO:0019901,GO:0045159,GO:0019905
SMED3_DN10608_c1_g2	GO:0007005,GO:0006119,GO:0005741,GO:0005739,GO:0005515
SMED3_DN106142_c0_g1	GO:0043161,GO:0030162,GO:0016567,GO:0005737,GO:0008270
SMED3_DN1061_c0_g1	GO:0034769,GO:0030574,GO:0006508,GO:0031012,GO:0016323,GO:0005615,GO:0005886,GO:0009986,GO:0016021,GO:0004222,GO:0008270
SMED3_DN10632_c0_g1	GO:0006511,GO:0006974,GO:0016567,GO:0005813,GO:0005634,GO:0005737,GO:0004839,GO:0005524
SMED3_DN10637_c0_g3	GO:0018108,GO:0045138,GO:0007169,GO:0033674,GO:0043235,GO:0005887,GO:0005886,GO:0004714,GO:0004712,GO:0005524
SMED3_DN106406_c0_g1	GO:0060348,GO:0061077,GO:0040018,GO:1901873,GO:0050821,GO:0030593,GO:0000413,GO:0044829,GO:0005790,GO:0005634,GO:0005654,GO:0005788,GO:0048471,GO:0005925,GO:0042470,GO:0005737,GO:0034663,GO:0016020,GO:0070062,GO:0016018,GO:0003755,GO:0005518,GO:0003723,GO:0051082,GO:0070063
SMED3_DN106517_c0_g1	GO:0006412,GO:0022627,GO:0005840,GO:0003735
SMED3_DN10655_c0_g1	GO:0042461,GO:0060625,GO:0010387,GO:0042742,GO:0000338,GO:0048477,GO:0007476,GO:0030154,GO:0050821,GO:0001745,GO:0008180,GO:0005634,GO:0005737,GO:0005515
SMED3_DN10657_c4_g1	GO:0006896,GO:0048280,GO:0042147,GO:0006886,GO:0045324,GO:0006891,GO:0016236,GO:0048278,GO:0000324,GO:0030173,GO:0005829,GO:0005774,GO:0012507,GO:0031201,GO:0005794,GO:0005737,GO:0031902,GO:0005789,GO:0000149,GO:0005484
SMED3_DN10661_c0_g1	GO:0006749,GO:0045335,GO:0004364
SMED3_DN1067_c0_g2	GO:0006412,GO:0016567,GO:0019941,GO:0005634,GO:0005840,GO:0005737,GO:0031625,GO:0003735,GO:0031386
SMED3_DN1067_c1_g1	GO:0045292,GO:0005634,GO:0030544
SMED3_DN106860_c0_g1	GO:0000398,GO:0005634,GO:0071013,GO:0071011,GO:0005686,GO:0005689,GO:0005684,GO:0005515,GO:0003723
SMED3_DN1068_c0_g1	GO:0000398,GO:0007601,GO:0042331,GO:0006355,GO:0045433,GO:0007632,GO:0071013,GO:0005634,GO:0071011,GO:0003729
SMED3_DN106911_c0_g1	GO:0006998,GO:0005882,GO:0005198
SMED3_DN10691_c0_g3	GO:0031053,GO:0006397,GO:0035194,GO:0005634,GO:0005654,GO:0005515
SMED3_DN10695_c0_g1	GO:0044719,GO:0009620,GO:0007613,GO:0006518,GO:0019953,GO:0005615,GO:0016020,GO:0005576,GO:0005507,GO:0004504
SMED3_DN106_c1_g1	GO:0007317,GO:0006468,GO:0007476,GO:0071361,GO:0046823,GO:0035332,GO:0007615,GO:0042981,GO:0040040,GO:0045187,GO:0048682,GO:2000249,GO:0010737,GO:0045879,GO:0019933,GO:0050804,GO:0010628,GO:0008355,GO:0008359,GO:0008103,GO:0032436,GO:0007622,GO:0048477,GO:0007314,GO:0007448,GO:0045880,GO:0005634,GO:0005829,GO:0043025,GO:0005886,GO:0030425,GO:0004712,GO:0005524,GO:0005515,GO:0004679,GO:0004691,GO:0106310
SMED3_DN106_c9_g1	GO:0005978,GO:0005737,GO:0055120,GO:0008466,GO:0102751,GO:0046872
SMED3_DN10709_c0_g1	GO:0098869,GO:0005634,GO:0005829,GO:0005737,GO:0004601,GO:0047134
SMED3_DN1070_c0_g1	GO:0010452,GO:0060820,GO:0006355,GO:0018992,GO:0005634,GO:0005700,GO:0005721,GO:0000228,GO:0046975,GO:0005515,GO:0031490,GO:0046872
SMED3_DN107192_c0_g1	GO:0010508,GO:0051607,GO:0007165,GO:0040008,GO:0006955,GO:0005615,GO:0005576,GO:0005125,GO:0005133
SMED3_DN1071_c0_g1	GO:0009966,GO:0043128,GO:0033101,GO:0005829,GO:0043231,GO:0005886,GO:0000139,GO:0005509
SMED3_DN10738_c1_g2	GO:0046716,GO:0007005,GO:0060298,GO:0045216,GO:0050954,GO:1900026,GO:0098609,GO:0040017,GO:0007517,GO:2001046,GO:0005634,GO:0009925,GO:0005654,GO:0055120,GO:0031430,GO:0005925,GO:0005912,GO:0005737,GO:0017022,GO:0046872
SMED3_DN10744_c0_g1	GO:0042593,GO:0070373,GO:0006470,GO:0042692,GO:0005634,GO:0032991,GO:0005737,GO:0004725,GO:0008138,GO:0042803,GO:0033549,GO:0017018
SMED3_DN107518_c0_g1	GO:0051085,GO:0005759,GO:0005739,GO:0046872,GO:0005524,GO:0051087,GO:0051082,GO:0140662
SMED3_DN1075_c0_g1	GO:0030517,GO:0061157,GO:0005737,GO:0003729,GO:0005515,GO:0036002,GO:1990247
SMED3_DN10761_c0_g2	GO:0072657,GO:0010008,GO:0000138,GO:0005794,GO:0005802,GO:0000139,GO:0005768,GO:0016021,GO:0005515
SMED3_DN107651_c0_g1	GO:0007165,GO:1905910,GO:0005576,GO:0005179
SMED3_DN10784_c1_g1	GO:0043086,GO:0005977,GO:0009966,GO:0043666,GO:0032091,GO:0005737,GO:0030426,GO:0043197,GO:0019904,GO:0004864
SMED3_DN10785_c0_g1	GO:0034769,GO:0030574,GO:0006508,GO:0031012,GO:0016323,GO:0005615,GO:0005886,GO:0009986,GO:0016021,GO:0004222,GO:0008270
SMED3_DN1079_c0_g1	GO:0002181,GO:0005829,GO:0046872
SMED3_DN108002_c0_g1	GO:0030683,GO:0039502,GO:0039540,GO:0030430,GO:0042025,GO:0003723
SMED3_DN10807_c0_g1	GO:0035999,GO:0006565,GO:0019264,GO:0046655,GO:0005737,GO:0005759,GO:0070905,GO:0004372,GO:0008270,GO:0030170
SMED3_DN10811_c0_g1	GO:0016567,GO:0019941,GO:0005634,GO:0005737,GO:0031625,GO:0031386
SMED3_DN10814_c0_g1	GO:0006814,GO:0005634,GO:0051059
SMED3_DN10816_c0_g1	GO:0032543,GO:0005739,GO:0005840,GO:0005763,GO:0003735,GO:0070181
