HOG00061058_70	ONUN3_DN5301_c0_g1_i1.p1
HOG00074662_73	ONUN3_DN6475_c0_g1_i2.p1, ONUN3_DN6750_c0_g1_i1.p1, ONUN3_DN5045_c1_g1_i7.p1, ONUN3_DN4305_c1_g1_i3.p1, ONUN3_DN25441_c0_g4_i1.p1
HOG00072393_73	ONUN3_DN2559_c0_g2_i1.p1
HOG00025956_62	ONUN3_DN20202_c1_g1_i1.p1, ONUN3_DN3536_c0_g1_i1.p1, ONUN3_DN347_c0_g1_i5.p1, ONUN3_DN21863_c1_g1_i1.p1, ONUN3_DN347_c0_g2_i2.p1, ONUN3_DN29161_c0_g1_i1.p1, ONUN3_DN8976_c0_g1_i37.p1, ONUN3_DN20825_c0_g1_i3.p1, ONUN3_DN8050_c0_g1_i20.p1, ONUN3_DN8050_c0_g3_i1.p1
HOG00069793_73	ONUN3_DN41605_c0_g1_i9.p1
HOG00022954_60	ONUN3_DN7680_c0_g1_i1.p1
HOG00048419_65	ONUN3_DN18_c0_g1_i10.p1
HOG00072424_73	ONUN3_DN3471_c0_g1_i10.p1
HOG00069872_73	ONUN3_DN4595_c0_g1_i1.p1
HOG00031214_63	ONUN3_DN5312_c0_g2_i1.p1
HOG00069382_73	ONUN3_DN18045_c0_g1_i8.p1
HOG00024740_61	ONUN3_DN1084_c1_g1_i3.p1
HOG00060304_70	ONUN3_DN1149_c0_g2_i1.p1, ONUN3_DN26704_c0_g1_i2.p1, ONUN3_DN66313_c0_g1_i1.p1
HOG00072877_73	ONUN3_DN1035_c0_g1_i21.p1
HOG00021081_58	ONUN3_DN4418_c0_g1_i1.p1
HOG00069427_73	ONUN3_DN20309_c0_g1_i1.p1, ONUN3_DN23504_c0_g1_i4.p1
HOG00047537_65	ONUN3_DN1638_c0_g1_i7.p1, ONUN3_DN411_c0_g1_i9.p1
HOG00022052_59	ONUN3_DN15104_c0_g1_i3.p1
HOG00031920_63	ONUN3_DN248_c0_g1_i2.p1
HOG00021900_59	ONUN3_DN1647_c0_g3_i1.p1, ONUN3_DN1647_c0_g2_i1.p1
HOG00068605_73	ONUN3_DN38542_c0_g1_i2.p1, ONUN3_DN2303_c0_g3_i2.p1, ONUN3_DN59_c1_g2_i1.p1
HOG00022033_59	ONUN3_DN7312_c0_g1_i17.p1, ONUN3_DN7312_c0_g2_i1.p1, ONUN3_DN8044_c0_g1_i1.p1
HOG00055609_69	ONUN3_DN13693_c0_g3_i1.p1
HOG00058512_69	ONUN3_DN2845_c0_g1_i3.p1
HOG00069202_73	ONUN3_DN6238_c0_g1_i31.p1, ONUN3_DN2576_c0_g1_i10.p1
HOG00023869_60	ONUN3_DN8356_c0_g1_i13.p1
HOG00050694_67	ONUN3_DN87134_c0_g1_i1.p1, ONUN3_DN124218_c0_g1_i1.p1, ONUN3_DN50093_c1_g1_i1.p1
HOG00055514_69	ONUN3_DN4943_c4_g1_i1.p1, ONUN3_DN125930_c0_g1_i1.p1, ONUN3_DN4177_c0_g1_i1.p1
HOG00071826_73	ONUN3_DN2326_c0_g2_i3.p1
HOG00021173_58	ONUN3_DN2515_c0_g1_i2.p1
HOG00068014_73	ONUN3_DN6141_c0_g1_i1.p1
HOG00028639_63	ONUN3_DN683_c0_g2_i2.p1, ONUN3_DN995_c0_g1_i16.p1, ONUN3_DN683_c0_g4_i4.p1
HOG00068096_73	ONUN3_DN126931_c0_g1_i1.p1, ONUN3_DN76344_c0_g1_i1.p1
HOG00068413_73	ONUN3_DN2213_c0_g1_i3.p1
HOG00054133_68	ONUN3_DN8737_c3_g1_i1.p1, ONUN3_DN1659_c2_g1_i1.p1, ONUN3_DN5260_c0_g1_i1.p1, ONUN3_DN19605_c0_g1_i1.p1
HOG00068643_73	ONUN3_DN3885_c0_g2_i7.p1
HOG00055953_69	ONUN3_DN21500_c10_g1_i1.p1
HOG00020954_58	ONUN3_DN2309_c0_g1_i3.p1, ONUN3_DN9727_c1_g1_i7.p1, ONUN3_DN1608_c0_g1_i13.p1, ONUN3_DN435_c1_g1_i9.p1
HOG00022871_60	ONUN3_DN1181_c0_g1_i1.p1, ONUN3_DN249_c0_g1_i6.p1, ONUN3_DN1587_c0_g3_i1.p1, ONUN3_DN9378_c0_g1_i2.p1, ONUN3_DN30269_c0_g1_i1.p1, ONUN3_DN64055_c0_g1_i1.p1, ONUN3_DN32870_c2_g2_i1.p1, ONUN3_DN7352_c1_g1_i2.p1, ONUN3_DN1196_c1_g3_i1.p1, ONUN3_DN9417_c0_g2_i2.p1, ONUN3_DN32870_c0_g2_i1.p1, ONUN3_DN2921_c1_g1_i3.p1
HOG00045858_65	ONUN3_DN6186_c0_g1_i1.p1
HOG00067348_73	ONUN3_DN4702_c1_g2_i3.p1
HOG00030038_63	ONUN3_DN947_c0_g1_i3.p1
HOG00067425_73	ONUN3_DN10171_c0_g1_i2.p1, ONUN3_DN7326_c0_g1_i1.p1
HOG00053227_68	ONUN3_DN1765_c0_g1_i21.p1, ONUN3_DN2424_c0_g1_i1.p1
HOG00070560_73	ONUN3_DN697_c0_g1_i1.p1
HOG00026418_62	ONUN3_DN8135_c0_g1_i1.p1
HOG00031790_63	ONUN3_DN435_c0_g1_i7.p1
HOG00054334_68	ONUN3_DN2544_c0_g1_i1.p1
HOG00068287_73	ONUN3_DN3388_c0_g1_i1.p1
HOG00060428_70	ONUN3_DN3165_c0_g1_i2.p1
HOG00067909_73	ONUN3_DN1423_c0_g1_i4.p1
HOG00072245_73	ONUN3_DN4411_c0_g1_i6.p1, ONUN3_DN2424_c1_g1_i3.p1
HOG00023450_60	ONUN3_DN3474_c0_g1_i8.p1
HOG00023083_60	ONUN3_DN6149_c0_g1_i1.p1
HOG00023499_60	ONUN3_DN2955_c0_g2_i1.p1
HOG00068806_73	ONUN3_DN7134_c0_g1_i3.p1
HOG00022089_59	ONUN3_DN17125_c1_g1_i1.p1, ONUN3_DN23128_c3_g1_i1.p1, ONUN3_DN9028_c0_g1_i1.p1, ONUN3_DN28000_c0_g1_i1.p2, ONUN3_DN6115_c2_g1_i1.p2, ONUN3_DN7760_c0_g5_i1.p1
HOG00062789_71	ONUN3_DN5313_c0_g1_i1.p1, ONUN3_DN14645_c0_g1_i1.p1
HOG00044759_65	ONUN3_DN3771_c0_g1_i6.p1
HOG00030777_63	ONUN3_DN130930_c0_g1_i1.p1
